epoch,teacher,baseline,standard_kd,adv_training,adv_kd
1,0.20053729012409846,0.20233748545646668,2.3952687841733296,0.26733312712510426,2.2270566689491273
2,0.0568409907862544,0.055206723497311275,0.5472794719060262,0.08870059585968654,0.532335825697581
3,0.04199405264457067,0.03993637200444937,0.4283571170012156,0.06457724813222886,0.4284764513015747
4,0.03466108384629091,0.032553916849941016,0.37094969917933146,0.0520642820139726,0.37619054549535114
5,0.026956718082974354,0.027565322409942746,0.3393050733884176,0.044190725980947414,0.3494267538865407
6,0.024721342454726496,0.022874067549531658,0.318265661795934,0.037030916942159334,0.3322617116610209
7,0.020782050247862935,0.020661364574823527,0.30137397883733114,0.0324809038862586,0.31612345770200095
8,0.01935682141572858,0.018332274282599488,0.28476186281840005,0.029952726038297017,0.3053549235026042
9,0.0170660102819403,0.016396367768508693,0.2785718076388041,0.025636738851169745,0.2977352801481883
10,0.0162945770696116,0.015787815826246516,0.2669487811009089,0.023646662480632463,0.29178384715716044
11,0.013347458803001791,0.013850130274550369,0.2631107445637385,0.02049887535472711,0.28455979846318563
12,0.012567781035066582,0.013099273606482893,0.25697927362124123,0.01979836866731445,0.2816831515947978
13,0.012694621970566611,0.012144556209336346,0.25292076730728147,0.01845055124399563,0.27552483444213866
14,0.011644582413462922,0.011204307850403711,0.24673968114058176,0.01593263939997802,0.2715547570546468
15,0.010261066905618645,0.010169044230063446,0.24558627552986145,0.01623650066939493,0.2684861821015676
