epoch,teacher,baseline,standard_kd,adv_training,adv_kd
1,0.21943210613131522,0.1968615480542183,2.252922483444214,0.2549512514392535,2.522027982076009
2,0.05696903459504247,0.054619004408518475,0.5372234227180481,0.08603532753388086,0.6044419282277426
3,0.0429143376596272,0.0398880180021127,0.4129514457066854,0.061540495828787484,0.4811887738227844
4,0.03562362079222997,0.032162853622436524,0.3589403152306875,0.04970917343695958,0.4267156577428182
5,0.02864905986537536,0.02645837361626327,0.32963565465609235,0.041098836411039036,0.3916256359418233
6,0.025228248813003302,0.022465222726141414,0.30491943758328754,0.03558527553031842,0.3669992417017619
7,0.021326295537501573,0.01992169723554204,0.2899296100139618,0.02951506969134013,0.3518954778989156
8,0.0191863591728732,0.018183290382971368,0.2765282794952393,0.02709466723824541,0.3422583993911743
9,0.018150234479705492,0.01713700264946868,0.27179883975187935,0.023904370074222483,0.32967040979067486
10,0.016131543677610657,0.015103506285324692,0.2631519637266795,0.021992740935832263,0.32374953049023947
11,0.013943199024007966,0.013304775990669926,0.2524960665067037,0.01947637341829638,0.31861994937260946
12,0.012466816379564503,0.011849781863267224,0.2494380819161733,0.01818980102824668,0.31424478918711346
13,0.013979085621920725,0.011405438026568541,0.2440933964172999,0.01696783892425398,0.3064070655186971
14,0.012124302948173135,0.011546053267252865,0.240082288980484,0.015151899847978104,0.30243951663970947
15,0.011279485353222117,0.009522822520629658,0.2399346556742986,0.015398997209966183,0.2994032533168793
